rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,tahun
1,University of Oxford,"20,775",11.1,0.41,95.6,91.3,99.6,98,68.7,96.4,2021
2,Stanford University,"16,223",7.4,0.23,94.9,92.2,96.7,99.9,90.1,79.5,2021
3,Harvard University,"21,261",9.3,0.25,94.8,94.4,98.8,99.4,46.8,77.7,2021
4,California Institute of Technology,"2,238",6.3,0.33,94.5,92.5,96.9,97,92.7,83.6,2021
5,Massachusetts Institute of Technology,"11,276",8.4,0.34,94.4,90.7,94.4,99.7,90.4,90,2021
6,University of Cambridge,"19,370",11,0.38,94,90.3,99.2,95.6,52.1,95.7,2021
7,"University of California, Berkeley","39,918",19.8,0.17,92.2,85.8,97.2,99.1,84.3,72.3,2021
8,Yale University,"12,910",6,0.20,91.6,91.9,93.8,97.9,56.1,68.4,2021
9,Princeton University,"8,091",8,0.23,91.5,88.8,92.5,98.9,58,80.2,2021
10,The University of Chicago,"14,292",5.9,0.31,90.3,88.9,90.5,98.6,54.9,74,2021
11,Imperial College London,"17,175",11.6,0.58,89.4,82.3,88.2,97.2,69.6,97.4,2021
12,Johns Hopkins University,"16,432",4.4,0.27,89.2,81.6,91.8,97.7,93.4,73.9,2021
13,University of Pennsylvania,"20,771",6.4,0.21,88.9,85.4,89.9,98.1,77.9,66.3,2021
14,ETH Zurich,"19,632",13.1,0.40,87.9,80.4,92.3,90.5,62.8,98,2021
15,"University of California, Los Angeles","41,673",10,0.17,87.1,82.5,90.2,96.5,57.6,65.3,2021
16,UCL,"34,590",10.8,0.55,86.9,76.6,89.4,96.2,42.1,96.5,2021
17,Columbia University,"27,384",5.7,0.39,86.8,85.1,82.9,97.7,45,79.8,2021
18,University of Toronto,"74,502",20,0.22,86,75.4,90.9,94.5,50,87.2,2021
19,Cornell University,"23,016",10.2,0.25,85.3,78.8,86.7,97.2,36.3,73.7,2021
20,Duke University,"15,489",4.3,0.21,84.8,80.7,80.4,96.9,99.7,65.5,2021
21,Tsinghua University,"37,484",11.6,0.13,84.8,87.7,94.9,78.8,100,51.1,2021
22,University of Michigan-Ann Arbor,"43,873",8.3,0.17,84,79,86.9,95.4,47.2,59.6,2021
23,Peking University,"38,583",11.1,0.16,83.9,89.6,91.3,75.4,96.3,61.2,2021
24,Northwestern University,"18,529",13,0.19,83.6,74.9,83.6,98.2,69.9,64.5,2021
25,National University of Singapore,"30,943",18,0.26,83.5,75.9,90.8,81.5,77.8,94.8,2021
26,New York University,"44,474",8.8,0.34,81.9,76.1,80.6,96,37.3,69.6,2021
27,London School of Economics and Political Science,"10,660",12,0.72,81.4,68.5,82.5,94.3,34.1,92.8,2021
28,Carnegie Mellon University,"14,058",13.7,0.48,81,65.1,81.3,98.9,53.3,80.5,2021
29,University of Washington,"46,258",10.7,0.17,80.4,69.8,80.5,98.7,45.6,60.9,2021
30,University of Edinburgh,"30,650",12.1,0.42,79.4,67.2,74.7,96,38.7,94.6,2021
31,University of Melbourne,"50,094",27,0.48,78.9,67.1,76.3,90.1,74.2,93.9,2021
32,LMU Munich,"34,249",33.6,0.17,78.2,68.7,78.7,87.9,100,68.1,2021
33,"University of California, San Diego","34,232",12,0.30,77.7,60.3,80.4,94.3,95.6,64.4,2021
34,University of British Columbia,"53,123",18.7,0.32,76.4,62.1,75.1,90,44.7,94.7,2021
35,King’s College London,"27,400",12.4,0.46,76.1,57.3,72.4,96.6,43.6,95.4,2021
36,Karolinska Institute,"7,696",8.8,0.26,76,57.6,72.2,95.8,71.4,87.3,2021
37,The University of Tokyo,"25,935",10.6,0.13,76,87.9,90.7,57.7,82.6,40.1,2021
38,Georgia Institute of Technology,"26,043",23.6,0.27,75.8,59.5,76.8,91.1,65.8,78.9,2021
39,University of Hong Kong,"18,135",18.2,0.43,75.2,67.5,73.3,80.3,57.4,99,2021
40,McGill University,"31,578",12.8,0.31,75.1,64.2,73.4,86.4,43.7,91.3,2021
41,Technical University of Munich,"32,377",39.8,0.31,74.8,63.8,73.6,85,100,74.4,2021
42,Universität Heidelberg,"20,020",14.5,0.18,74.3,67.5,61.7,96.6,56.9,68.4,2021
43,École Polytechnique Fédérale de Lausanne,"10,942",12.2,0.60,74.1,63.9,66.7,85.8,73.3,98.5,2021
44,University of Texas at Austin,"49,510",16.9,0.10,74,67.9,74.8,90.5,46.2,39.4,2021
45,KU Leuven,"45,617",36.1,0.15,73.7,58.7,74.4,86.1,97.2,72.7,2021
46,Paris Sciences et Lettres – PSL Research University Paris,"20,701",14.7,0.24,73.6,71.2,73,75.9,61.7,80.6,2021
47,"Nanyang Technological University, Singapore","23,902",14.8,0.25,72.7,57.1,71.9,83,83.2,94,2021
48,University of Illinois at Urbana-Champaign,"45,980",17.8,0.24,72.3,62.5,79.1,81.3,49.5,55.1,2021
49,University of Wisconsin-Madison,"39,451",9.8,0.13,71.4,68.2,71.4,82.5,45,48.4,2021
50,Washington University in St Louis,"13,693",7.5,0.21,71.1,61.2,58.7,99,40.4,59.1,2021
51,University of Manchester,"36,555",14.4,0.41,70.9,57.1,66.5,85.6,49.2,91.7,2021
52,The University of Sydney,"46,453",19.4,0.43,70.9,51.3,64.4,92.3,69.3,90,2021
53,University of Southern California,"41,953",13,0.23,70.4,63.8,58.4,93.1,39.2,64.9,2021
54,Boston University,"26,510",11.1,0.28,70.3,58.9,60.9,94.9,41.7,64.9,2021
55,Kyoto University,"22,935",9.3,0.11,70.3,77.9,79.9,60.8,74.6,37.8,2021
56,Chinese University of Hong Kong,"18,675",19.3,0.33,70.1,55.7,59.1,89.4,58.6,98.3,2021
57,The Hong Kong University of Science and Technology,"9,976",21.6,0.30,70.1,52.1,63,88.9,63.6,97.4,2021
58,University of North Carolina at Chapel Hill,"30,956",8.2,0.08,70.1,60.6,63.3,96.3,42.5,39.7,2021
59,Australian National University,"18,801",17.8,0.47,69.8,48.5,68.3,88.4,43,96.2,2021
60,Seoul National University,"26,757",15.1,0.11,69.7,72.4,73.8,68.8,97.8,37.4,2021
61,Brown University,"9,695",10.8,0.20,69.5,62.4,56.6,94,36.1,62.3,2021
62,The University of Queensland,"40,389",35.5,0.38,69.4,54.3,61,85.9,81,93,2021
63,Wageningen University & Research,"14,356",21,0.27,69.4,48.2,56.4,97.3,100,83.7,2021
64,"University of California, Davis","36,395",13.6,0.17,68.9,60.5,66.2,81.9,50.4,66.9,2021
65,Monash University,"57,406",41.7,0.43,68.9,52.9,61.7,86.2,73.9,90.3,2021
66,University of Amsterdam,"24,747",12.8,0.24,68.8,49.1,62.2,92.8,39.9,87.4,2021
67,UNSW Sydney,"46,234",41,0.44,68.2,50.9,62,85.3,66.8,94.7,2021
68,"University of California, Santa Barbara","24,780",28.2,0.18,67.9,45.8,59.6,96.7,81.8,70,2021
69,McMaster University,"25,285",30.5,0.18,67.5,46.7,53.1,95.8,99.5,83.8,2021
70,Fudan University,"32,597",11.2,0.13,66.7,65.9,65.6,73.3,67.1,47.7,2021
71,Leiden University,"30,178",19,0.18,66.7,45.6,66,84.1,72.6,82.2,2021
72,Erasmus University Rotterdam,"26,453",26.8,0.22,66.2,37.9,57,97.6,73.6,87.8,2021
73,University of Montreal,"36,774",20.2,0.21,65.6,51.1,52.6,87.4,78.3,84.3,2021
74,University of Zurich,"22,960",14.8,0.21,65.6,50.1,50.4,89.8,64.1,92.1,2021
75,Charité - Universitätsmedizin Berlin,"7,431",17.4,0.20,65.4,48.3,48,97.4,92.1,66.6,2021
76,Utrecht University,"32,022",14,0.10,65.4,43,61.1,89.9,65.7,74.1,2021
77,University of Warwick,"21,775",13.3,0.41,65.3,46.7,53.8,90.1,41.6,94,2021
78,Delft University of Technology,"19,594",17.4,0.31,65.2,54.4,71.6,60,98.9,92.8,2021
